seconds,state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts]
0,3,0,393902,-82891,3,10,165
"0,2",3,0,393902,-82891,6,23,165
"0,3",3,0,393902,-82891,9,29,164
"0,4",3,0,393902,-82891,12,35,165
"0,5",3,0,393902,-82891,16,42,165
"0,7",3,0,393902,-82891,26,55,164
"0,8",3,0,393902,-82891,31,61,165
"0,9",3,0,393902,-82891,38,68,165
1,3,0,393902,-82891,45,74,164
"1,1",3,0,393902,-82891,53,81,165
"1,3",3,0,393902,-82890,70,94,165
"1,4",3,0,393902,-82890,80,101,165
"1,5",3,0,393902,-82890,91,107,164
"1,6",3,0,393901,-82890,102,114,164
"1,7",3,0,393901,-82890,114,121,165
"1,8",3,0,393901,-82889,126,128,164
2,3,0,393901,-82889,153,141,165
"2,2",3,0,393901,-82888,182,154,165
"2,4",3,0,393901,-82888,213,168,164
"2,5",3,0,393901,-82888,229,174,165
"2,6",3,0,393901,-82887,246,180,165
"2,7",3,0,393901,-82887,263,186,165
"2,7",3,0,393901,-82887,263,186,165
"2,8",3,0,393901,-82887,281,193,164
"2,9",3,0,393901,-82887,299,198,164
3,3,0,393900,-82886,317,204,164
"3,2",3,0,393900,-82886,355,215,165
"3,3",3,0,393900,-82886,374,221,164
"3,4",3,0,393900,-82886,394,226,165
"3,5",3,0,393900,-82886,414,231,165
"3,6",3,0,393900,-82886,434,236,165
"3,7",3,0,393900,-82886,455,241,164
"3,9",3,0,393900,-82885,497,251,165
"4,1",3,0,393900,-82885,541,260,164
"4,2",3,0,393900,-82885,563,265,172
"4,3",3,0,393900,-82885,586,269,166
"4,4",3,0,393897,-82875,609,274,166
"4,5",3,0,393897,-82875,633,278,165
"4,7",3,0,393896,-82874,682,287,165
"4,8",3,0,393896,-82874,707,291,165
"4,9",3,0,393896,-82874,732,295,165
5,3,0,393895,-82870,758,299,165
"5,1",3,0,393895,-82870,784,303,165
"5,3",3,0,393895,-82870,838,310,165
"5,4",3,0,393894,-82866,869,315,165
"5,5",3,0,393894,-82866,903,320,165
"5,6",3,0,393893,-82864,938,326,165
"5,7",3,0,393893,-82864,976,332,165
"5,9",3,0,393893,-82864,1055,344,165
6,3,0,393893,-82864,1096,351,165
"6,1",3,0,393893,-82864,1138,357,165
"6,2",3,0,393891,-82856,1181,363,165
"6,3",3,0,393891,-82856,1224,369,165
"6,5",3,0,393891,-82856,1312,380,165
"6,6",3,0,393891,-82856,1356,385,165
"6,7",3,0,393891,-82856,1401,389,165
"6,8",3,0,393891,-82856,1446,392,165
7,3,0,393891,-82856,1535,398,165
"7,1",3,0,393891,-82856,1579,399,165
"7,3",4,0,393891,-82856,1663,397,165
"7,5",4,0,393891,-82856,1743,392,165
"7,6",4,0,393891,-82856,1783,388,165
"7,7",4,0,393891,-82856,1822,385,165
"7,9",4,0,393891,-82856,1899,379,165
"8,2",4,0,393891,-82856,2011,369,165
"8,3",4,0,393891,-82856,2047,365,165
"8,5",4,0,393891,-82856,2118,358,165
"8,6",4,0,393891,-82856,2152,355,165
"8,8",4,0,393891,-82856,2218,347,165
9,4,0,393891,-82856,2282,340,165
"9,3",4,0,393880,-82819,2374,328,165
"9,5",4,0,393880,-82819,2433,321,165
"9,6",4,0,393880,-82819,2461,317,165
"9,7",4,0,393880,-82819,2488,313,165
"9,9",4,0,393880,-82819,2538,304,165
"10,1",4,0,393880,-82819,2585,295,165
"10,2",4,0,393880,-82819,2608,290,165
"10,4",4,0,393880,-82819,2653,282,165
"10,5",4,0,393880,-82819,2676,278,165
"10,6",4,0,393880,-82819,2699,274,165
"10,7",4,0,393880,-82819,2722,270,165
"10,8",4,0,393880,-82819,2744,267,165
"10,9",4,0,393880,-82819,2767,264,165
11,4,0,393880,-82819,2790,260,165
"11,1",4,0,393880,-82819,2812,257,165
"11,2",4,0,393880,-82819,2835,254,165
"11,3",4,0,393880,-82819,2858,251,165
"11,4",4,0,393880,-82819,2881,249,165
"11,5",4,0,393880,-82819,2903,246,165
"11,6",4,0,393880,-82819,2926,244,165
"11,7",4,0,393880,-82819,2949,241,165
"12,1",4,0,393880,-82819,3040,233,165
"12,5",4,0,393880,-82819,3131,226,165
"12,7",4,0,393880,-82819,3176,222,165
"12,9",4,0,393880,-82819,3221,220,165
13,4,0,393880,-82819,3244,218,165
"13,1",4,0,393880,-82819,3267,217,165
"13,2",4,0,393880,-82819,3290,216,165
"13,3",4,0,393880,-82819,3313,215,165
"13,4",4,0,393880,-82819,3336,214,165
"13,7",4,0,393880,-82819,3404,210,165
"13,8",4,0,393880,-82819,3427,210,165
"13,9",4,0,393880,-82819,3450,209,165
14,4,0,393880,-82819,3473,208,165
"14,1",4,0,393880,-82819,3496,207,165
"14,2",4,0,393880,-82819,3519,206,165
"14,4",4,0,393880,-82819,3564,204,165
"14,5",4,0,393880,-82819,3586,203,165
"14,9",4,0,393880,-82819,3674,200,165
"15,2",4,0,393880,-82819,3740,197,164
"15,4",4,0,393880,-82819,3783,196,165
"15,7",4,0,393880,-82819,3847,193,165
"15,9",4,0,393860,-82753,3889,191,165
"16,1",4,0,393860,-82753,3930,190,165
"16,5",4,0,393860,-82753,4012,186,165
"16,6",4,0,393860,-82753,4032,185,165
"16,7",4,0,393860,-82753,4052,184,165
"16,8",4,0,393867,-82763,4072,183,165
17,4,0,393867,-82763,4110,181,165
"17,2",4,0,393867,-82763,4148,179,165
"17,5",4,0,393867,-82763,4204,176,165
"17,6",4,0,393867,-82763,4223,175,165
"17,7",4,0,393867,-82763,4241,174,165
"17,8",4,0,393867,-82763,4259,173,165
18,4,0,393867,-82763,4295,171,165
"18,1",4,0,393867,-82763,4313,170,165
"18,2",4,0,393867,-82763,4331,169,165
"18,3",4,0,393867,-82763,4349,168,164
"18,4",4,0,393867,-82763,4367,167,165
"18,6",4,0,393867,-82763,4401,165,165
"18,9",4,0,393867,-82763,4451,161,165
19,4,0,393867,-82763,4468,160,165
"19,1",4,0,393867,-82763,4484,159,165
"19,2",4,0,393867,-82763,4500,158,165
